backend,region,ws,max_abs_err,median_abs_err,max_rel_err_safe,signed_aggregate_err,aggregate_abs_err_max_sigma,sum_mass_rel_err_max_sigma,value_pass,worst_sigma,n_nan,prep_seconds,prep_nbytes,max_deriv_abs_err,deriv_floor_max,deriv_pass,panel_count,n_nonmonotone_rows,bound_violations,npz_bytes,npz_sha256,fast_path_events
quad_h20_q16,Lower South,none,1.753919232072576e-11,1.8762769116165146e-14,3.276944546916569e-11,-1.1488121565150777e-10,1.9948398488622843e-10,1.009612292078931e-12,True,10.0,0,0.0015631999995093793,56360,5.429302951664994e-08,5.429310704722449e-08,True,1409.0,,,,,
quad_h20_q16,North Delaware,none,1.0047962462067517e-11,1.3822276656583199e-14,1.482317046838831e-11,-1.9005941265248794e-10,3.032788464807368e-10,2.0054608323085182e-12,True,10.630000037921143,0,0.0009806000016396865,56400,5.4585722886191235e-08,5.458552128819368e-08,True,1410.0,,,,,
quad_h20_q16,Central,none,1.0326184352038581e-11,1.2323475573339238e-14,1.9212900881151328e-11,-1.0335515776560555e-10,3.451014474187275e-10,1.0694152709680905e-12,True,10.0,0,0.0013627000007545575,75160,5.209978781728353e-08,5.2099731936057957e-08,True,1879.0,,,,,
quad_h20_q16,East Fairmount Park,none,3.1065150452036505e-12,1.9095836023552692e-14,5.934698482442332e-12,1.9047763366586423e-11,4.28103108518485e-11,1.875101832193785e-13,True,11.066171867841833,0,0.008776599999691825,101920,1.3177509997075454e-07,1.3177492430571647e-07,True,2548.0,,,,,
quad_h20_q16,Mifflin Square,none,2.333688797762079e-13,1.6528445279107018e-14,6.457573696016846e-13,-1.0956124896210895e-11,1.0956124896210895e-11,6.453101957418885e-13,True,76.91032046036837,0,0.0012073999969288707,2160,1.2100869750675258e-07,1.2100857353184816e-07,True,54.0,,,,,
quad_h40_q16,Lower South,none,1.986100173212435e-11,2.4313884239290928e-14,3.7107410724653203e-11,1.1183298731509694e-10,2.135942533953994e-10,9.850393553379458e-13,True,10.0,0,0.0016786999985924922,35480,5.4293029350116484e-08,5.429310704722449e-08,True,887.0,,,,,
quad_h40_q16,North Delaware,none,8.736789069985207e-12,1.2101430968414206e-14,1.2984261511686725e-11,-1.22963417226174e-10,1.8496226772413138e-10,1.2974801595582773e-12,True,10.651281319278342,0,0.0011442999966675416,35480,5.4585726994016426e-08,5.458552128819368e-08,True,887.0,,,,,
quad_h40_q16,Central,none,1.0149103779610869e-11,2.398081733190338e-14,2.4066029204115384e-11,1.3957973665768009e-10,2.2437302016342642e-10,1.4392126117595253e-12,True,11.842237023656763,0,0.0011250000025029294,58360,5.209978160003459e-08,5.2099731936057957e-08,True,1459.0,,,,,
quad_h40_q16,East Fairmount Park,none,4.143907439413397e-12,1.9095836023552692e-14,1.2015669629050708e-11,2.6911806116913795e-11,5.109224154864478e-11,2.6492547175376006e-13,True,10.0,0,0.00765279999905033,87240,1.3177500504668593e-07,1.3177492430571647e-07,True,2181.0,,,,,
quad_h40_q16,Mifflin Square,none,3.43836070726411e-13,8.926193117986259e-14,1.1272350535526706e-12,1.6130985436291212e-11,1.6130985436291212e-11,1.1266289742431409e-12,True,56.13790136144116,0,0.0009358999959658831,1680,1.2100876856102616e-07,1.2100857353184816e-07,True,42.0,,,,,
table_K24,Lower South,none,0.001006900048258652,3.4027800465130653e-06,0.0019016374900859179,-0.014228856970864484,0.03195370473506412,0.00017224604438619982,False,470.3664141263562,0,17.848014000002877,49344,0.03859935226385866,5.429310704722449e-08,False,,88.0,387.0,25215.0,0ba4ed72de762c30,
table_K24,North Delaware,none,0.0012656134348525416,1.5040944496003128e-06,0.0014349544364272344,-0.026289926942571706,0.03265172597108268,0.0003326281751465702,False,470.3664141263562,0,17.919667799993476,49344,0.04706184516546061,5.458552128819368e-08,False,,110.0,266.0,15655.0,89048d69c08de84c,
table_K24,Central,none,0.0012877536358206765,9.078375410309647e-07,0.001604850070724197,-0.023875979411162374,0.039077554319364216,0.0002924977843944318,False,470.3664141263562,0,18.06591710000066,49344,0.04939401293315912,5.2099731936057957e-08,False,,104.0,325.0,22300.0,ce3c7ca1a41d495f,
table_K24,East Fairmount Park,none,0.0010896036825651656,2.2495488492091376e-05,0.0034814411637240283,0.014988110646496591,0.023026624554428526,0.0004837070188911981,False,10.630000037921143,0,33.78424950000044,42432,0.041830535699890536,1.3177492430571647e-07,False,,25.0,37.0,14766.0,0f968e6ca3af12c4,
